TIME,DJIA
"October-24,1901",47.939
"October-25,1901",47.8291
"October-26,1901",47.6826
"October-28,1901",46.8914
"October-29,1901",47.2211
"October-30,1901",47.5141
"October-31,1901",47.2138
"November-01,1901",47.3749
"November-02,1901",47.4921
"November-04,1901",47.2358
"November-06,1901",47.2944
"November-07,1901",47.4555
"November-08,1901",47.6899
"November-09,1901",48.1002
"November-11,1901",48.7302
"November-12,1901",48.6056
"November-13,1901",48.3712
"November-14,1901",47.8804
"November-15,1901",48.4225
"November-16,1901",48.4372
"November-18,1901",48.254
"November-19,1901",48.0709
"November-20,1901",47.7266
"November-21,1901",47.9463
"November-22,1901",48.2613
"November-23,1901",48.1148
"November-25,1901",47.7266
"November-26,1901",47.7485
"November-27,1901",48.1881
"November-29,1901",48.1148
"November-30,1901",47.624
"December-02,1901",46.8988
"December-03,1901",47.2064
"December-04,1901",47.5215
"December-05,1901",47.4995
"December-06,1901",46.7523
"December-07,1901",46.1223
"December-09,1901",46.6497
"December-10,1901",46.3493
"December-11,1901",45.9684
"December-12,1901",45.1333
"December-13,1901",45.3018
"December-14,1901",45.5802
"December-16,1901",45.3824
"December-17,1901",45.6168
"December-18,1901",45.9977
"December-19,1901",46.049
"December-20,1901",46.2761
"December-21,1901",46.2395
"December-23,1901",45.4996
"December-24,1901",45.0674
"December-26,1901",45.8732
"December-27,1901",46.3787
"December-28,1901",46.7083
"December-30,1901",46.3933
"December-31,1901",47.2944
"January-02,1902",47.1185
"January-03,1902",47.0673
"January-04,1902",47.3163
"January-06,1902",47.5434
"January-07,1902",47.0453
"January-08,1902",47.5215
"January-09,1902",46.9427
"January-10,1902",46.7742
"January-11,1902",46.8988
"January-13,1902",46.3787
"January-14,1902",45.8366
"January-15,1902",46.2688
"January-16,1902",46.5838
"January-17,1902",46.8988
"January-18,1902",46.5471
"January-20,1902",46.4812
"January-21,1902",46.4739
"January-22,1902",46.5471
"January-23,1902",46.8914
"January-24,1902",46.9794
"January-25,1902",46.8109
"January-27,1902",47.0087
"January-28,1902",47.7412
